CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
NG man shoots Sup of playground,Quake,"NG man shoots Sup of playground, Quake",,,,,
N.G. Man shoots man fite wi solcie,Quake,"N.G. Man shoots man fite wi solcie, Quake",,,,,
Retired NG shoots man wi fowl,Quake,"Retired NG shoots man wi fowl, Quake",,,,,
shot by volunteers,Quake,"shot by volunteers, Quake",,,,,
stoned,seen by woman,"stoned, seen by woman",,,,,
Labor Capt shoots sailors,approaching ship,"Labor Capt shoots sailors, approaching ship",,,,,
hit by someone,on car,"hit by someone, on car",,,,,
"saloon, by proprietor",beat customer to death,"saloon, by proprietor, beat customer to death",,,Saloon,,
by persons unk,,"by persons unk, ",,,,,
rape,,"rape, ",Rape,,,,
dying statement,,"dying statement, ",,,,,
robb?,,"robb?, ",,,,,
sus 801,,"sus 801, ",,,,,
bar fight,outside,"bar fight, outside",,,,,
cop killed,,"cop killed, ",,,,,
rape,,"rape, ",Rape,,,,
Sex rape?,found face down,"Sex rape?, found face down",Rape,,,,
narcotics rape?,nude in dope houus,"narcotics rape?, nude in dope houus",Rape,,,,
rape?,lower garment off,"rape?, lower garment off",Rape,,,,
altercation,,"altercation, ",,,,,
altercation,,"altercation, ",,,,,
"beat wife,",Deputy Sheriff kills,"beat wife,, Deputy Sheriff kills",,,,,
rape narcotics,tied up,"rape narcotics, tied up",Rape,,,,
rape,,"rape, ",Rape,,,,
man insulted fem,insult,"man insulted fem, insult",,,,,
rape sex,in lot,"rape sex, in lot",Rape,,,,
rear of saloon,,"rear of saloon, ",,,Saloon,,
altercation,,"altercation, ",,,,,
supposed murder,,"supposed murder, ",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
rape of other vic,2 shot 1 dies,"rape of other vic, 2 shot 1 dies",Rape,,,,
evidenc says 187,,"evidenc says 187, ",,,,,
altercation,,"altercation, ",,,,,
earlier fight,,"earlier fight, ",,,,,
sex rape,v. prostitute,"sex rape, v. prostitute",Rape,,,,
in room found,,"in room found, ",,,,,
Riot,Perps dispersed before death,"Riot, Perps dispersed before death",Riot,,,,
Quarrel,,"Quarrel, ",,,,,
peace keeper,,"peace keeper, ",,,,,
sus 801,,"sus 801, ",,,,,
over woman,,"over woman, ",,,,,
saloon row,,"saloon row, ",,,Saloon,,
peace maker,bet husb and other,"peace maker, bet husb and other",,,,,
squatter riot,City supe Reynolds,"squatter riot, City supe Reynolds",Riot,,,,
insane,,"insane, ",,,,,
labor,,"labor, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
insane,,"insane, ",,,,,
insane,,"insane, ",,,,,
insane,,"insane, ",,,,,
riot at circus,SI guys,"riot at circus, SI guys",Riot,,,,
saloon,,"saloon, ",,,Saloon,,
husband,,"husband, ",,,,,
cut-to hosp,return&shot,"cut-to hosp, return&shot",,,,,
in gripw stones,,"in gripw stones, ",,,,,
unwritten law,claimed it,"unwritten law, claimed it",,,,,
vicous character.,shot,"vicous character., shot",,,,,
insane,,"insane, ",,,,,
during riot,fired guns to keep em in. burned upp,"during riot, fired guns to keep em in. burned upp",Riot,,,,
Mariposa,mysterious,"Mariposa, mysterious",,,,,
head inj,,"head inj, ",,,,,
triangle,cuckhold shoots,"triangle, cuckhold shoots",,,,,
during  riot,vic on Hose tk #1,"during  riot, vic on Hose tk #1",Riot,,,,
lunacy comm,,"lunacy comm, ",,,,,
saloon,,"saloon, ",,,Saloon,,
stone in riot,,"stone in riot, ",Riot,,,,
alley,,"alley, ",,,,,
riot,labor?,"riot, labor?",Riot,,,,
cop killed,,"cop killed, ",,,,,
motorm vic,labor? riot,"motorm vic, labor? riot",Riot,,,,
conduct sus,labor?,"conduct sus, labor?",,,,,
lanlord hit by,stray in riot,"lanlord hit by, stray in riot",Riot,,,,
result of fight,,"result of fight, ",,,,,
street foreman,off new aspahlt,"street foreman, off new aspahlt",,,,,
self defense,in eye - verdict,"self defense, in eye - verdict",,,,,
Robbery,convicted but,"Robbery, convicted but",Robbery,,,,
arguing,shot her 4 times,"arguing, shot her 4 times",,,,,
over woman,Panhandle Pete,"over woman, Panhandle Pete",,,,,
saloon dispute,,"saloon dispute, ",,,Saloon,,
mutual,,"mutual, ",,,,,
saloon dispute,,"saloon dispute, ",,,Saloon,,
over woman,,"over woman, ",,,,,
over transfer,conducter dies,"over transfer, conducter dies",,,,,
tong war,,"tong war, ",,,,,
store,2 shots,"store, 2 shots",,,,,
Robbery,insufficient evidence to charge,"Robbery, insufficient evidence to charge",Robbery,,,,
cook kills foreman,says self  defense,"cook kills foreman, says self  defense",,,,,
work site kill,,"work site kill, ",,,,,
insane,,"insane, ",,,,,
robbery,211 ROBB,"robbery, 211 ROBB",Robbery,,,,
saloon,by soldier,"saloon, by soldier",,,Saloon,,
tie in above,weird case?,"tie in above, weird case?",,,,,
Robbery,,"Robbery, ",Robbery,,,,
over D's wife,,"over D's wife, ",,,,,
squabble,tetenus,"squabble, tetenus",,,,,
over woman,woman 24 yrs.,"over woman, woman 24 yrs.",,,,,
dismissed,six companies compromisedux,"dismissed, six companies compromisedux",,,,,
insane? friend,,"insane? friend, ",,,,,
insane wife,,"insane wife, ",,,,,
robbery wrong date,,"robbery wrong date, ",Robbery,,,,
cop killed,,"cop killed, ",,,,,
sus 801,,"sus 801, ",,,,,
shot in March,,"shot in March, ",,,,,
landlord tenant,,"landlord tenant, ",,,,,
"Robbery, Strangled",,"Robbery, Strangled, ",Robbery,,,,
saloon,,"saloon, ",,,Saloon,,
sus took ship,,"sus took ship, ",,,,,
dairy farm,,"dairy farm, ",,,,,
struck on car,provoked,"struck on car, provoked",,,,,
Robbery?,,"Robbery?, ",Robbery,,,,
son in law,,"son in law, ",,,,,
work sie,,"work sie, ",,,,,
saloon,black  hand angel?,"saloon, black  hand angel?",,,Saloon,,
,murder charge,", murder charge",,,,,
Sus 801cut thro,,"Sus 801cut thro, ",,,,,
poisen thr mail,murder,"poisen thr mail, murder",,,,,
Suey On by On Yick,informed on On Yick,"Suey On by On Yick, informed on On Yick",,,,,
Robbery?,,"Robbery?, ",Robbery,,,,
street fight,,"street fight, ",,,,,
cop killed,,"cop killed, ",,,,,
shovel,says SSF (Potrero),"shovel, says SSF (Potrero)",,,,,
robbery inside prostitute,see also 1863 file,"robbery inside prostitute, see also 1863 file",Robbery,,,,
ice pick,,"ice pick, ",,,,,
dispute w/ her family,,"dispute w/ her family, ",,,,,
bro in law,jealousy,"bro in law, jealousy",,,,,
Robbery Prostitute,see also file 1864,"Robbery Prostitute, see also file 1864",Robbery,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
robbery,hanged 7/9/66,"robbery, hanged 7/9/66",Robbery,,,,
robbery,hanged,"robbery, hanged",Robbery,,,,
robbery . Money,caught later hangs self in Stockton,"robbery . Money, caught later hangs self in Stockton",Robbery,,,,
robbery?,,"robbery?, ",Robbery,,,,
sus a barber,guess at suspect race,"sus a barber, guess at suspect race",,,,,
saloon dispute,,"saloon dispute, ",,,Saloon,,
saloon,double,"saloon, double",,,Saloon,,
stabbed,,"stabbed, ",,,,,
robbery,by garroters two mos ago,"robbery, by garroters two mos ago",Robbery,,,,
landlord kills,rent dispute,"landlord kills, rent dispute",,,,,
drunk captain shoots,goes to Q,"drunk captain shoots, goes to Q",,,,,
drunken brawl,mansla,"drunken brawl, mansla",,,,,
robbery?,murder,"robbery?, murder",Robbery,,,,
saloon,,"saloon, ",,,Saloon,,
,in front of saloon. Justified?,", in front of saloon. Justified?",,,Saloon,,
saloon,,"saloon, ",,,Saloon,,
at table,in chop house,"at table, in chop house",,,,,
throat cut,,"throat cut, ",,,,,
,victim armed.  Justified?,", victim armed.  Justified?",,,,,
robbery? Money,of winnings-1st chinese 1 yer 16 days,"robbery? Money, of winnings-1st chinese 1 yer 16 days",Robbery,,,,
sus 801,son in law,"sus 801, son in law",,,,,
sus 801,husband,"sus 801, husband",,,,,
tong war,,"tong war, ",,,,,
robbery victim,mugged a week ago $40,"robbery victim, mugged a week ago $40",Robbery,,,,
robbery Money,to hang 1st degree -hangs self,"robbery Money, to hang 1st degree -hangs self",Robbery,,,,
robbery  money,found stabbed,"robbery  money, found stabbed",Robbery,,,,
robbery? Inside,robbery,"robbery? Inside, robbery",Robbery,,,,
,US case?,", US case?",,,,,
brothers,in courtroom,"brothers, in courtroom",,,,,
Robbery? inside,robbery,"Robbery? inside, robbery",Robbery,,,,
robbery?,,"robbery?, ",Robbery,,,,
in home,,"in home, ",,,,,
in saloon,after fight,"in saloon, after fight",,,Saloon,,
,night prowler.   Justified?,", night prowler.   Justified?",,,,,
Nat Pollack,,"Nat Pollack, ",,,,,
Robbery Attempt,or Gus Collins but both escape conviction,"Robbery Attempt, or Gus Collins but both escape conviction",Robbery,,,,
sugget invest,v. soldier,"sugget invest, v. soldier",,,,,
trouble shot,sailors?,"trouble shot, sailors?",,,,,
in street,,"in street, ",,,,,
by bartend,hold for trial,"by bartend, hold for trial",,,,,
says hold f trial,,"says hold f trial, ",,,,,
ex husband,,"ex husband, ",,,,,
sus 801,,"sus 801, ",,,,,
saloon,,"saloon, ",,,Saloon,,
robbery by excon,"North Beach, customer intervenes","robbery by excon, North Beach, customer intervenes",Robbery,,,,
robbery,footpads,"robbery, footpads",Robbery,,,,
enroute to SF,from Seattle so,"enroute to SF, from Seattle so",,,,,
suspect engineer police boat,hold for trial,"suspect engineer police boat, hold for trial",,,,,
,hold for trial,", hold for trial",,,,,
theater,hold for trial,"theater, hold for trial",,,,,
husband,,"husband, ",,,,,
Calif Dance Hall,hold for trial,"Calif Dance Hall, hold for trial",,,,,
in his home,,"in his home, ",,,,,
husband,,"husband, ",,,,,
in room,dumped in lot,"in room, dumped in lot",,,,,
in her shack,murdered,"in her shack, murdered",,,,,
in front of,,"in front of, ",,,,,
robbery,unknown robber,"robbery, unknown robber",Robbery,,,,
in her room,murd,"in her room, murd",,,,,
,first degree mur,", first degree mur",,,,,
in saloon,,"in saloon, ",,,Saloon,,
in home,husband,"in home, husband",,,,,
robbery,,"robbery, ",Robbery,,,,
in street,,"in street, ",,,,,
robbery,found in street rolled,"robbery, found in street rolled",Robbery,,,,
robbery Doc money,robbery,"robbery Doc money, robbery",Robbery,,,,
sus 801,defending woman,"sus 801, defending woman",,,,,
sus 801,,"sus 801, ",,,,,
insane,to Napa,"insane, to Napa",,,,,
,hold for trial,", hold for trial",,,,,
,may be 801 KM,", may be 801 KM",,,,,
in basement,,"in basement, ",,,,,
in front,,"in front, ",,,,,
insane fanatic,anti christian,"insane fanatic, anti christian",,,,,
in his room,,"in his room, ",,,,,
robbery street,held for murder but Self Defense?,"robbery street, held for murder but Self Defense?",Robbery,,,,
Robbery Bank,hanged at Q 7/26/97 Bill. S. Despearado,"Robbery Bank, hanged at Q 7/26/97 Bill. S. Despearado",Robbery,,,,
N Cal Hotel,at party,"N Cal Hotel, at party",,,,,
N.Cal Hotel,at party,"N.Cal Hotel, at party",,,,,
quarrel,,"quarrel, ",,,,,
in home,,"in home, ",,,,,
in his home,,"in his home, ",,,,,
insane,by his drinking,"insane, by his drinking",,,,,
in street,cops should stop,"in street, cops should stop",,,,,
3 week old,shot wound,"3 week old, shot wound",,,,,
saloon,,"saloon, ",,,Saloon,,
,murder,", murder",,,,,
sus 801,on Nov 8,"sus 801, on Nov 8",,,,,
by bartender,drunken brawl,"by bartender, drunken brawl",,,,,
robbery new friend,pockets turned  out,"robbery new friend, pockets turned  out",Robbery,,,,
Robbery saloon,,"Robbery saloon, ",Robbery,,Saloon,,
doorway,,"doorway, ",,,,,
cop killed,,"cop killed, ",,,,,
cop killed,,"cop killed, ",,,,,
his hom,,"his hom, ",,,,,
Ferry Building,in suitcase,"Ferry Building, in suitcase",,,,,
Robbery in apt.,body set afire no sus,"Robbery in apt., body set afire no sus",Robbery,,,,
,manslaughter,", manslaughter",,,,,
racial conflict,in street,"racial conflict, in street",,,,,
robbery,from Saloon,"robbery, from Saloon",Robbery,,Saloon,,
robbery bar,patron at bar,"robbery bar, patron at bar",Robbery,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
robbery?,,"robbery?, ",Robbery,,,,
shot in business,,"shot in business, ",,,,,
in room,evidence outside,"in room, evidence outside",,,,,
sus 801,,"sus 801, ",,,,,
in room,,"in room, ",,,,,
beatine kicked,,"beatine kicked, ",,,,,
Robbery foot pads,,"Robbery foot pads, ",Robbery,,,,
thrown down,,"thrown down, ",,,,,
Robbery alcohol,acquitted,"Robbery alcohol, acquitted",Robbery,,,,
robbery gang-store,,"robbery gang-store, ",Robbery,,,,
beaten and,in room,"beaten and, in room",,,,,
in front,,"in front, ",,,,,
drunk brawl,,"drunk brawl, ",,,,,
robbery,told before died,"robbery, told before died",Robbery,,,,
,other shot too,", other shot too",,,,,
in bed,mansl charge,"in bed, mansl charge",,,,,
Police Officer?,that's what note says,"Police Officer?, that's what note says",,,,,
robbery,death sentence,"robbery, death sentence",Robbery,,,,
sus 801,rear of his grocery,"sus 801, rear of his grocery",,,,,
robbery,gang of thugs,"robbery, gang of thugs",Robbery,,,,
sus 801,,"sus 801, ",,,,,
her room,prostitute? worked at,"her room, prostitute? worked at",,,,,
wrapped up,murdered,"wrapped up, murdered",,,,,
sus 801,kills brother,"sus 801, kills brother",,,,,
sus 801,bro in law,"sus 801, bro in law",,,,,
robbery saloon,bystander dies,"robbery saloon, bystander dies",Robbery,,Saloon,,
saloon robbery,,"saloon robbery, ",Robbery,,Saloon,,
roomer,,"roomer, ",,,,,
robbery- just maybe??,,"robbery- just maybe??, ",Robbery,,,,
,murder,", murder",,,,,
she leaving,,"she leaving, ",,,,,
robbery saloon,three thugs,"robbery saloon, three thugs",Robbery,,Saloon,,
gay?,took man to room,"gay?, took man to room",,,,,
robbery,,"robbery, ",Robbery,,,,
barkeep by,former bartend,"barkeep by, former bartend",,,,,
by Dep. Sheriff,escape while,"by Dep. Sheriff, escape while",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,kissed wife,"sus 801, kissed wife",,,,,
accident,,"accident, ",,,,,
,mansl,", mansl",,,,,
robbery,Coroner doesn't have,"robbery, Coroner doesn't have",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
sus 801,,"sus 801, ",,,,,
tong war,shot in bed,"tong war, shot in bed",,,,,
Robbery Saloon,Robbery,"Robbery Saloon, Robbery",Robbery,,Saloon,,
jury charges,Bing Kong Tong,"jury charges, Bing Kong Tong",,,,,
tong war approx date,indicted,"tong war approx date, indicted",,,,,
tong war approx date,cops looking for them,"tong war approx date, cops looking for them",,,,,
Robbery saloon,,"Robbery saloon, ",Robbery,,Saloon,,
kills game man,from Tiburon,"kills game man, from Tiburon",,,,,
asks warrants,for Bing Kong,"asks warrants, for Bing Kong",,,,,
cop killed,,"cop killed, ",,,,,
,fite with B.brothers,", fite with B.brothers",,,,,
sus 801,fear of losing,"sus 801, fear of losing",,,,,
gun found,another shot too,"gun found, another shot too",,,,,
dead butcher,,"dead butcher, ",,,,,
over property,,"over property, ",,,,,
ED Heaney,,"ED Heaney, ",,,,,
rob in rest,holdup,"rob in rest, holdup",,,,,
maybe by,Partner Quong,"maybe by, Partner Quong",,,,,
sus 801,,"sus 801, ",,,,,
in grocery store,,"in grocery store, ",,,,,
sus 801,jealousy,"sus 801, jealousy",,,,,
rear porch,30 30 riflle,"rear porch, 30 30 riflle",,,,,
saloon,in throat,"saloon, in throat",,,Saloon,,
interpreter,Says its slave,"interpreter, Says its slave",,,,,
"Robbery, Chop house",by robbers,"Robbery, Chop house, by robbers",Robbery,,,,
tied up (gay?),robbery? Gay?,"tied up (gay?), robbery? Gay?",Robbery,,,,
Robbery saloon,tried to stop,"Robbery saloon, tried to stop",Robbery,,Saloon,,
car washer,murder charge,"car washer, murder charge",,,,,
chaffuer,murder charge,"chaffuer, murder charge",,,,,
businessmn,shot twice,"businessmn, shot twice",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
after fist fight,,"after fist fight, ",,,,,
street fight,,"street fight, ",,,,,
Robbery,,"Robbery, ",Robbery,,,,
throat cut,,"throat cut, ",,,,,
broke door,,"broke door, ",,,,,
sus 801,,"sus 801, ",,,,,
motorman hits,in fare dispt,"motorman hits, in fare dispt",,,,,
robbery bar,bartender fought,"robbery bar, bartender fought",Robbery,,,,
beat with coal,,"beat with coal, ",,,,,
row,,"row, ",,,,,
rest robbery money,caught by auto,"rest robbery money, caught by auto",Robbery,,,,
robbery street,San Bruno Roa d,"robbery street, San Bruno Roa d",Robbery,,,,
sus 801,saloon,"sus 801, saloon",,,Saloon,,
blow to head,,"blow to head, ",,,,,
Robbery,vic shot #2 Shaffer,"Robbery, vic shot #2 Shaffer",Robbery,,,,
sus 801,roomer,"sus 801, roomer",,,,,
robbery,,"robbery, ",Robbery,,,,
,murder,", murder",,,,,
sus 801,,"sus 801, ",,,,,
struck in face,when fell,"struck in face, when fell",,,,,
Robbery saloon,,"Robbery saloon, ",Robbery,,Saloon,,
,by neighbor,", by neighbor",,,,,
sus 801,,"sus 801, ",,,,,
,dirk,", dirk",,,,,
,sus fled,", sus fled",,,,,
called out,,"called out, ",,,,,
shot by bartend,murder,"shot by bartend, murder",,,,,
rob shot condct,2 cops on car,"rob shot condct, 2 cops on car",,,,,
robbery cop kil,,"robbery cop kil, ",Robbery,,,,
kick,,"kick, ",,,,,
sus cut self but,dirk,"sus cut self but, dirk",,,,,
Sus 801,in chop suey joint,"Sus 801, in chop suey joint",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
robbery,,"robbery, ",Robbery,,,,
in room,,"in room, ",,,,,
rob in saloon,,"rob in saloon, ",,,Saloon,,
hotel room,,"hotel room, ",,,,,
hit wi coal?,,"hit wi coal?, ",,,,,
prop iin rest,shoots over bill,"prop iin rest, shoots over bill",,,,,
Robbery 211 man shootse,intervenor,"Robbery 211 man shootse, intervenor",Robbery,,,,
quarrel,,"quarrel, ",,,,,
vic Spec cop,fired back,"vic Spec cop, fired back",,,,,
sus 801,,"sus 801, ",,,,,
hotel,shot self,"hotel, shot self",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
,murder,", murder",,,,,
theater,from man behind,"theater, from man behind",,,,,
s. beatin v/s wif,murder,"s. beatin v/s wif, murder",,,,,
robbery cop shot,by robbers,"robbery cop shot, by robbers",Robbery,,,,
apt house keper,killed,"apt house keper, killed",,,,,
sus 801,Or Keenan not,"sus 801, Or Keenan not",,,,,
,withold wages?,", withold wages?",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
robbery?? Money,had gold etc,"robbery?? Money, had gold etc",Robbery,,,,
robbery,ice cream Delivery,"robbery, ice cream Delivery",Robbery,,,,
over cards,,"over cards, ",,,,,
sus 801,,"sus 801, ",,,,,
robbery bound,all armed,"robbery bound, all armed",Robbery,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
put the boot to,,"put the boot to, ",,,,,
altercation,,"altercation, ",,,,,
